Y       theta   v       w
-9      -2      0.25    -0.24
-9      -2      0.25    -0.07
-9      -2      0.25    -0.07
-9      -2      0.25    -0.07
-9      -2      0.25    -0.07
-9      -3      0.25    -0.10
-10     -3      0.25    -0.10
-10     -3      0.25    -0.08
-11     -3      0.25    -0.10
-12     -2      0.25    -0.07
-12     -2      0.25    -0.08
-13     -1      0.25    -0.07
-12     0       0.25    -0.02
-10     2       0.25    0.04
-8      3       0.25    0.04
-5      3       0.25    0.05
-1      3       0.25    0.00
2       3       0.25    0.00
4       1       0.25    0.00
6       0       0.25    0.04
8       1       0.25    0.10
10      1       0.25    0.09
12      0       0.25    0.07
12      0       0.25    0.06
15      -2      0.25    0.06
14      -3      0.25    0.01
12      -4      0.25    -0.03
11      -4      0.25    0.00
9       -4      0.25    -0.03
7       -4      0.25    -0.03
5       -4      0.25    -0.04
4       -4      0.25    -0.04
2       -3      0.25    0.00
1       -3      0.25    0.00
1       -2      0.25    0.00
0       -2      0.25    0.00
0       -2      0.25    0.00
0       -2      0.25    0.00
0       -2      0.25    0.00
0       -1      0.25    0.00
0       -1      0.25    0.00
0       -2      0.25    0.00
0       -2      0.25    0.00
0       -3      0.25    0.00
-2      -2      0.25    0.00
-2      -2      0.25    0.00
-2      -2      0.25    0.00
-3      -2      0.25    0.00
-3      -2      0.25    0.00
-3      -2      0.25    0.00
-4      -2      0.25    -0.06
-4      -2      0.25    -0.04
-5      -2      0.25    -0.06
-6      -2      0.25    -0.07
-6      -2      0.25    -0.05
-6      -1      0.25    -0.02
-6      0       0.25    -0.01
-5      0       0.25    0.00
-3      1       0.25    0.00
-1      0       0.25    0.00
0       2       0.25    0.00
3       4       0.25    0.14
7       6       0.25    0.20
13      8       0.25    0.28
22      11      0.25    0.42
29      12      0.25    0.39
37      11      0.25    0.39
47      9       0.25    0.43
51      5       0.25    0.28
56      1       0.25    0.29
58      -1      0.25    0.27
59      -5      0.25    0.18
58      -9      0.25    0.10
54      -11     0.25    0.06
46      -11     0.25    0.00
41      -10     0.25    0.05
37      -9      0.25    0.06
33      -7      0.25    0.08
31      -4      0.25    0.14
30      -2      0.25    0.15
30      0       0.25    0.19
31      -1      0.25    0.14
31      -1      0.25    0.14
31      -2      0.25    0.12
31      -2      0.25    0.14
31      -2      0.25    0.14
31      -1      0.25    0.16
32      0       0.25    0.20
32      0       0.25    0.16
34      0       0.25    0.20
35      0       0.25    0.19
35      -2      0.25    0.12
35      -2      0.25    0.16
35      -2      0.25    0.16
35      -2      0.25    0.16
35      -2      0.25    0.16
35      -2      0.25    0.16
35      -1      0.25    0.18
36      -1      0.25    0.18
36      -3      0.25    0.11
35      -5      0.25    0.07
33      -6      0.25    0.06
31      -8      0.25    0.00
25      -12     0.25    -0.16
19      -13     0.25    -0.15
13      -12     0.25    -0.12
7       -11     0.25    -0.14
0       -10     0.25    -0.18
-3      -8      0.25    -0.10
-6      -5      0.25    -0.07
-8      -2      0.25    -0.03
-8      0       0.25    0.00
-7      1       0.25    0.01
-5      1       0.25    0.01
-3      1       0.25    0.00
-1      1       0.25    0.00
