t       Y       theta   v       w
0.00    13      0       0.30    0.60
0.03    13      0       0.30    0.08
0.06    13      0       0.30    0.08
0.10    13      0       0.30    0.08
0.11    13      0       0.30    0.08
0.15    13      0       0.30    0.08
0.18    13      0       0.30    0.08
0.21    13      0       0.30    0.08
0.24    13      0       0.30    0.08
0.28    13      0       0.30    0.08
0.31    13      0       0.30    0.08
0.34    13      0       0.30    0.08
0.37    13      0       0.30    0.08
0.40    13      0       0.30    0.08
0.44    13      0       0.30    0.08
0.48    14      0       0.30    0.12
0.52    14      0       0.30    0.08
0.54    14      0       0.30    0.08
0.55    14      0       0.30    0.08
0.58    14      0       0.30    0.08
0.62    14      0       0.30    0.08
0.63    14      0       0.30    0.08
0.67    14      0       0.30    0.08
0.70    14      0       0.30    0.08
0.73    14      0       0.30    0.08
0.78    15      0       0.30    0.13
0.83    15      0       0.30    0.09
0.86    15      0       0.30    0.09
0.89    15      0       0.30    0.09
0.92    15      0       0.30    0.09
0.96    16      0       0.30    0.14
0.99    16      0       0.30    0.10
1.04    16      0       0.30    0.10
1.08    16      0       0.30    0.10
1.13    17      0       0.30    0.14
1.17    17      0       0.30    0.10
1.20    17      0       0.30    0.10
1.22    17      0       0.30    0.10
1.23    18      0       0.30    0.15
1.27    18      0       0.30    0.11
1.28    18      0       0.30    0.11
1.31    18      0       0.30    0.11
1.34    18      0       0.30    0.11
1.38    18      0       0.30    0.11
1.41    19      0       0.30    0.15
1.44    19      0       0.30    0.11
1.46    19      0       0.30    0.11
1.48    19      0       0.30    0.11
1.49    19      0       0.30    0.11
1.53    20      -1      0.30    0.12
1.56    20      -1      0.30    0.10
1.59    20      -2      0.30    0.07
1.64    20      -3      0.30    0.05
1.69    19      -4      0.30    -0.01
1.72    19      -4      0.30    0.05
1.75    18      -5      0.30    -0.03
1.78    18      -5      0.30    0.03
1.82    18      -6      0.30    -0.00
1.85    17      -6      0.30    -0.03
1.86    17      -6      0.30    0.01
1.88    16      -6      0.30    -0.03
1.91    15      -6      0.30    -0.04
1.94    15      -6      0.30    0.00
1.96    14      -6      0.30    -0.05
1.99    13      -7      0.30    -0.09
2.03    13      -7      0.30    -0.03
2.06    12      -7      0.30    -0.07
2.09    11      -7      0.30    -0.08
2.14    10      -6      0.30    -0.05
2.17    9       -6      0.30    -0.08
2.19    9       -6      0.30    -0.04
2.22    8       -6      0.30    -0.08
2.24    7       -5      0.30    -0.05
2.26    7       -5      0.30    -0.03
2.27    6       -4      0.30    -0.04
2.30    6       -4      0.30    -0.02
2.35    4       -4      0.30    -0.12
2.38    4       -4      0.30    -0.04
2.43    3       -4      0.30    -0.08
2.46    3       -4      0.30    -0.04
2.51    2       -3      0.30    0.00
2.56    2       -3      0.30    0.00
2.59    1       -2      0.30    0.00
2.64    1       -2      0.30    0.00
2.69    1       -2      0.30    0.00
2.74    1       -2      0.30    0.00
2.79    0       -2      0.30    0.00
2.83    0       -2      0.30    0.00
2.88    0       -2      0.30    0.00
2.91    0       -2      0.30    0.00
2.95    0       -2      0.30    0.00
2.99    0       -2      0.30    0.00
3.03    0       -2      0.30    0.00
3.06    0       -2      0.30    0.00
3.11    0       -3      0.30    0.00
3.15    -1      -3      0.30    0.00
3.20    -1      -3      0.30    0.00
3.25    -2      -3      0.30    0.00
3.28    -2      -3      0.30    0.00
3.31    -2      -2      0.30    0.00
3.35    -2      -2      0.30    0.00
3.38    -3      -3      0.30    -0.12
3.43    -3      -3      0.30    -0.06
3.47    -4      -3      0.30    -0.11
3.52    -4      -3      0.30    -0.07
3.57    -4      -3      0.30    -0.07
3.60    -5      -3      0.30    -0.11
3.65    -5      -3      0.30    -0.07
3.70    -5      -2      0.30    -0.04
3.75    -5      -2      0.30    -0.06
3.80    -6      -2      0.30    -0.11
3.81    -6      -2      0.30    -0.07
3.83    -6      -1      0.30    -0.03
3.85    -6      -1      0.30    -0.05
3.86    -6      -1      0.30    -0.05
3.88    -6      -1      0.30    -0.05
3.90    -6      -1      0.30    -0.05
3.91    -6      0       0.30    -0.02
3.94    -6      0       0.30    -0.04
3.99    -5      0       0.30    0.00
4.04    -5      0       0.30    0.00
4.09    -4      0       0.30    0.00
4.12    -4      1       0.30    0.00
4.17    -3      1       0.30    0.00
4.20    -2      1       0.30    0.00
4.25    -1      1       0.30    0.00
4.28    -1      1       0.30    0.00
4.31    0       1       0.30    0.00
4.36    0       1       0.30    0.00
4.40    1       1       0.30    0.00
4.42    1       1       0.30    0.00
4.43    2       1       0.30    0.00
4.46    2       1       0.30    0.00
4.50    3       0       0.30    0.00
4.54    3       0       0.30    0.00
4.59    4       0       0.30    0.00
4.61    4       0       0.30    0.00
4.63    4       0       0.30    0.00
4.64    3       0       0.30    0.00
4.67    5       0       0.30    0.00
4.70    5       0       0.30    0.00
4.75    6       0       0.30    0.08
4.78    6       0       0.30    0.04
4.81    7       0       0.30    0.08
4.85    7       0       0.30    0.04
4.89    7       0       0.30    0.04
4.93    8       0       0.30    0.09
4.98    8       0       0.30    0.05
5.03    9       0       0.30    0.09
5.07    10      0       0.30    0.10
5.12    11      0       0.30    0.11
5.17    11      0       0.30    0.07
5.22    12      0       0.30    0.11
5.27    12      0       0.30    0.07
5.30    13      -1      0.30    0.08
5.35    13      -2      0.30    0.03
5.38    13      -2      0.30    0.05
5.41    12      -3      0.30    -0.03
5.46    12      -3      0.30    0.03
5.49    12      -4      0.30    -0.01
5.52    11      -5      0.30    -0.07
5.56    10      -5      0.30    -0.06
5.59    10      -5      0.30    -0.01
5.62    9       -5      0.30    -0.06
5.65    9       -6      0.30    -0.06
5.69    8       -6      0.30    -0.08
5.73    7       -6      0.30    -0.09
5.78    6       -6      0.30    -0.09
5.83    5       -5      0.30    -0.07
5.85    4       -5      0.30    -0.09
5.87    4       -5      0.30    -0.05
5.90    3       -4      0.30    -0.06
5.93    2       -4      0.30    -0.09
5.96    2       -4      0.30    -0.05
6.01    1       -3      0.30    0.00
6.04    1       -3      0.30    0.00
6.09    1       -2      0.30    0.00
6.14    1       -1      0.30    0.00
6.17    1       -1      0.30    0.00
6.20    1       -1      0.30    0.00
6.25    1       -1      0.30    0.00
6.28    1       0       0.30    0.00
6.32    1       -1      0.30    0.00
6.36    1       -1      0.30    0.00
6.40    1       -1      0.30    0.00
6.43    1       -1      0.30    0.00
6.45    1       -1      0.30    0.00
6.46    1       -1      0.30    0.00
6.48    2       -1      0.30    0.00
6.50    2       -1      0.30    0.00
6.51    2       0       0.30    0.00
6.55    2       0       0.30    0.00
6.58    2       0       0.30    0.00
6.61    3       0       0.30    0.00
6.64    3       1       0.30    0.00
6.67    4       2       0.30    0.11
6.72    5       3       0.30    0.14
6.74    5       3       0.30    0.07
6.76    7       4       0.30    0.20
6.77    7       4       0.30    0.10
6.81    8       5       0.30    0.18
6.84    10      6       0.30    0.25
6.86    10      6       0.30    0.15
6.88    12      7       0.30    0.28
6.89    12      7       0.30    0.18
6.91    12      7       0.30    0.18
6.93    14      8       0.30    0.30
6.95    14      8       0.30    0.20
6.96    16      8       0.30    0.30
7.00    19      9       0.30    0.39
7.03    22      10      0.30    0.42
7.06    22      10      0.30    0.28
7.11    27      10      0.30    0.51
7.16    30      10      0.30    0.45
7.21    33      10      0.30    0.47
7.26    36      9       0.30    0.45
7.31    39      9       0.30    0.49
7.35    44      8       0.30    0.56
7.40    46      6       0.30    0.41
7.44    48      6       0.30    0.46
7.48    49      5       0.30    0.39
7.53    51      4       0.30    0.43
7.57    53      4       0.30    0.46
7.61    54      3       0.30    0.39
7.65    56      1       0.30    0.39
7.70    57      0       0.30    0.36
7.74    58      -1      0.30    0.35
7.79    59      -5      0.30    0.24
7.82    59      -5      0.30    0.28
7.87    58      -7      0.30    0.16
7.90    58      -7      0.30    0.24
7.94    58      -8      0.30    0.21
7.97    57      -9      0.30    0.15
8.01    56      -9      0.30    0.16
8.05    54      -10     0.30    0.07
8.08    53      -10     0.30    0.13
8.13    49      -9      0.30    0.02
