Y       theta   v       w
-15     -3      0.21    -0.27
-15     -3      0.21    -0.09
-15     -3      0.21    -0.09
-15     -1      0.21    -0.06
-15     -2      0.21    -0.09
-15     -2      0.21    -0.08
-15     -2      0.21    -0.08
-15     -2      0.21    -0.08
-15     -2      0.21    -0.08
-16     -1      0.21    -0.09
-16     0       0.21    -0.07
-15     0       0.21    -0.07
-14     1       0.21    -0.04
-12     3       0.21    -0.00
-9      4       0.21    0.02
-6      4       0.21    0.02
-3      4       0.21    0.04
1       5       0.21    0.08
4       5       0.21    0.07
7       4       0.21    0.08
10      2       0.21    0.07
12      1       0.21    0.07
13      0       0.21    0.07
14      -1      0.21    0.07
14      -2      0.21    0.05
13      -3      0.21    0.03
12      -4      0.21    0.02
10      -5      0.21    -0.00
8       -6      0.21    -0.02
6       -6      0.21    -0.02
3       -6      0.21    -0.04
1       -6      0.21    -0.04
0       -5      0.21    0.00
-2      -4      0.21    -0.04
-3      -2      0.21    0.00
-3      -2      0.21    0.00
-4      -2      0.21    -0.03
-4      -2      0.21    -0.03
-4      -1      0.21    0.00
-4      -1      0.21    0.00
-3      1       0.21    0.00
0       5       0.21    0.00
5       8       0.21    0.26
10      9       0.21    0.15
16      11      0.21    0.22
22      11      0.21    0.23
29      10      0.21    0.26
33      6       0.21    0.20
37      2       0.21    0.20
39      0       0.21    0.20
39      -4      0.21    0.14
38      -7      0.21    0.11
35      -8      0.21    0.10
31      -11     0.21    0.03
26      -13     0.21    -0.01
20      -14     0.21    -0.04
13      -14     0.21    -0.08
6       -15     0.21    -0.12
1       -14     0.21    -0.11
-4      -13     0.21    -0.12
-10     -12     0.21    -0.16
-14     -10     0.21    -0.14
-18     -8      0.21    -0.15
-21     -6      0.21    -0.15
-23     -4      0.21    -0.14
-23     0       0.21    -0.08
-22     2       0.21    -0.07
-19     5       0.21    -0.01
-14     7       0.21    0.04
-10     7       0.21    0.03
-5      7       0.21    0.06
-1      7       0.21    0.07
3       6       0.21    0.07
7       5       0.21    0.09
11      4       0.21    0.10
14      3       0.21    0.11
17      1       0.21    0.10
19      0       0.21    0.10
20      0       0.21    0.11
20      -2      0.21    0.07
20      -3      0.21    0.08
19      -5      0.21    0.04
17      -6      0.21    0.03
15      -8      0.21    -0.01
11      -8      0.21    -0.03
8       -8      0.21    -0.03
5       -8      0.21    -0.04
1       -7      0.21    -0.06
0       -6      0.21    -0.03
-2      -6      0.21    -0.06
-4      -6      0.21    -0.07
-7      -4      0.21    -0.07
-8      -4      0.21    -0.07
-9      -2      0.21    -0.04
-9      -1      0.21    -0.04
-9      0       0.21    -0.03
-9      0       0.21    -0.04
-8      0       0.21    -0.03
-7      1       0.21    -0.01
-6      1       0.21    -0.01
-4      1       0.21    0.00
-3      1       0.21    0.00
0       2       0.21    0.00
1       3       0.21    0.00
3       3       0.21    0.14
6       2       0.21    0.06
8       2       0.21    0.07
10      2       0.21    0.08
12      1       0.21    0.07
14      0       0.21    0.08
15      -1      0.21    0.07
15      -2      0.21    0.06
15      -3      0.21    0.05
14      -4      0.21    0.03
12      -5      0.21    0.00
10      -6      0.21    -0.01
7       -7      0.21    -0.04
4       -7      0.21    -0.04
1       -8      0.21    -0.08
-1      -6      0.21    -0.03
-2      -2      0.21    0.00
-2      0       0.21    0.00
-1      0       0.21    0.00
1       3       0.21    0.00
3       5       0.21    0.19
9       7       0.21    0.16
14      9       0.21    0.18
20      10      0.21    0.22
29      12      0.21    0.32
35      11      0.21    0.28
42      9       0.21    0.30
48      5       0.21    0.29
51      2       0.21    0.27
53      3       0.21    0.31
56      2       0.21    0.31
58      -1      0.21    0.27
59      -5      0.21    0.24
57      -9      0.21    0.18
55      -13     0.21    0.15
46      -18     0.21    0.00
38      -21     0.21    -0.02
29      -23     0.21    -0.08
19      -24     0.21    -0.14
8       -25     0.21    -0.20
-5      -23     0.21    -0.25
-15     -21     0.21    -0.26
-23     -18     0.21    -0.26
-30     -14     0.21    -0.25
-37     -9      0.21    -0.25
-40     -5      0.21    -0.21
-41     -2      0.21    -0.20
-42     0       0.21    -0.20
-40     4       0.21    -0.12
-37     7       0.21    -0.09
-33     9       0.21    -0.06
-26     11      0.21    0.01
-19     13      0.21    0.06
-11     16      0.21    0.14
0       16      0.21    0.19
8       15      0.21    0.18
16      13      0.21    0.21
22      9       0.21    0.17
29      5       0.21    0.20
32      2       0.21    0.17
34      0       0.21    0.17
34      -3      0.21    0.13
33      -6      0.21    0.10
31      -9      0.21    0.06
27      -11     0.21    0.02
23      -12     0.21    0.01
