Y       theta   v       w
-11     -2      0.21    -0.20
-10     -3      0.21    -0.07
-11     -2      0.21    -0.07
-11     -1      0.21    -0.05
-11     -2      0.21    -0.07
-11     -2      0.21    -0.07
-11     -2      0.21    -0.07
-11     -2      0.21    -0.07
-11     -1      0.21    -0.05
-11     -1      0.21    -0.06
-11     0       0.21    -0.04
-10     0       0.21    -0.04
-10     0       0.21    -0.05
-8      1       0.21    -0.01
-6      2       0.21    0.01
-4      3       0.21    0.02
-1      3       0.21    0.00
2       4       0.21    0.07
4       3       0.21    0.05
6       2       0.21    0.05
8       1       0.21    0.06
10      1       0.21    0.07
11      0       0.21    0.06
12      -1      0.21    0.06
12      -2      0.21    0.04
12      -3      0.21    0.03
11      -4      0.21    0.02
9       -5      0.21    -0.01
7       -5      0.21    -0.01
5       -6      0.21    -0.03
3       -6      0.21    -0.04
1       -5      0.21    -0.03
0       -4      0.21    0.00
-1      -3      0.21    0.00
-1      -2      0.21    0.00
-2      -2      0.21    0.00
-2      -2      0.21    0.00
-2      -2      0.21    0.00
-2      0       0.21    0.00
0       2       0.21    0.00
1       4       0.21    0.00
7       7       0.21    0.16
11      9       0.21    0.16
17      10      0.21    0.21
23      10      0.21    0.23
29      8       0.21    0.22
33      5       0.21    0.20
36      1       0.21    0.17
37      -3      0.21    0.14
37      -6      0.21    0.12
35      -8      0.21    0.10
31      -10     0.21    0.04
28      -11     0.21    0.05
22      -12     0.21    -0.02
16      -13     0.21    -0.05
11      -14     0.21    -0.08
5       -14     0.21    -0.11
0       -14     0.21    -0.12
-5      -12     0.21    -0.11
-10     -10     0.21    -0.13
-15     -8      0.21    -0.14
-18     -7      0.21    -0.14
-20     -5      0.21    -0.12
-21     -1      0.21    -0.08
-21     0       0.21    -0.10
-19     3       0.21    -0.03
-17     5       0.21    -0.02
-13     6       0.21    0.01
-9      6       0.21    0.03
-5      6       0.21    0.04
-2      6       0.21    0.05
3       6       0.21    0.10
5       5       0.21    0.06
10      4       0.21    0.11
13      3       0.21    0.10
16      1       0.21    0.10
18      0       0.21    0.10
19      0       0.21    0.10
20      -1      0.21    0.10
20      -3      0.21    0.07
19      -5      0.21    0.04
17      -6      0.21    0.03
15      -7      0.21    0.01
12      -8      0.21    -0.02
9       -8      0.21    -0.03
6       -8      0.21    -0.04
2       -8      0.21    -0.07
0       -7      0.21    -0.05
-2      -7      0.21    -0.07
-4      -6      0.21    -0.06
-6      -5      0.21    -0.07
-8      -4      0.21    -0.07
-9      -2      0.21    -0.04
-9      -1      0.21    -0.04
-9      0       0.21    -0.03
-9      0       0.21    -0.04
-8      0       0.21    -0.03
-7      0       0.21    -0.03
-6      1       0.21    -0.00
-5      1       0.21    -0.01
-3      2       0.21    0.00
0       3       0.21    0.00
1       3       0.21    0.00
4       3       0.21    0.07
6       3       0.21    0.07
8       3       0.21    0.07
10      2       0.21    0.07
13      2       0.21    0.10
14      0       0.21    0.06
15      0       0.21    0.08
15      -1      0.21    0.06
15      -3      0.21    0.04
14      -4      0.21    0.03
13      -5      0.21    0.02
11      -6      0.21    -0.00
8       -6      0.21    -0.02
5       -7      0.21    -0.05
2       -8      0.21    -0.07
0       -6      0.21    -0.03
-1      -2      0.21    0.00
-1      0       0.21    0.00
0       0       0.21    0.00
2       3       0.21    0.00
5       5       0.21    0.10
10      7       0.21    0.16
14      8       0.21    0.16
20      10      0.21    0.23
27      12      0.21    0.29
34      12      0.21    0.30
41      11      0.21    0.32
46      8       0.21    0.29
50      4       0.21    0.27
53      1       0.21    0.27
55      2       0.21    0.32
57      1       0.21    0.30
58      -1      0.21    0.27
58      -6      0.21    0.21
57      -10     0.21    0.19
52      -15     0.21    0.08
44      -20     0.21    -0.01
36      -22     0.21    -0.03
26      -23     0.21    -0.10
16      -24     0.21    -0.15
2       -23     0.21    -0.24
-7      -22     0.21    -0.23
-17     -19     0.21    -0.25
-24     -16     0.21    -0.24
-32     -11     0.21    -0.24
-36     -8      0.21    -0.23
-39     -4      0.21    -0.20
-40     -1      0.21    -0.19
-40     1       0.21    -0.18
-38     4       0.21    -0.12
-35     7       0.21    -0.08
-31     9       0.21    -0.05
-25     9       0.21    -0.02
-21     10      0.21    -0.00
-12     14      0.21    0.14
-4      15      0.21    0.14
3       14      0.21    0.15
13      13      0.21    0.22
19      10      0.21    0.18
25      7       0.21    0.19
29      4       0.21    0.17
32      1       0.21    0.17
34      -1      0.21    0.17
34      -3      0.21    0.14
33      -6      0.21    0.10
31      -8      0.21    0.07
27      -10     0.21    0.03
22      -12     0.21    -0.02
18      -13     0.21    -0.03
10      -13     0.21    -0.10
5       -13     0.21    -0.09
0       -12     0.21    -0.10
-4      -11     0.21    -0.10
-9      -9      0.21    -0.12
-12     -7      0.21    -0.10
-15     -6      0.21    -0.12
-16     -4      0.21    -0.09
-17     -3      0.21    -0.10
-18     -1      0.21    -0.09
-18     0       0.21    -0.08
-17     1       0.21    -0.06
-15     2       0.21    -0.04
-13     3       0.21    -0.02
-9      5       0.21    0.04
-6      5       0.21    0.03
-2      5       0.21    0.06
0       5       0.21    0.00
2       4       0.21    0.04
5       4       0.21    0.07
8       3       0.21    0.07
10      2       0.21    0.07
13      2       0.21    0.10
14      0       0.21    0.06
16      0       0.21    0.10
17      -1      0.21    0.08
17      -2      0.21    0.07
16      -3      0.21    0.04
15      -4      0.21    0.03
14      -5      0.21    0.03
12      -6      0.21    0.00
10      -6      0.21    0.00
8       -6      0.21    -0.01
6       -6      0.21    -0.02
4       -5      0.21    -0.02
2       -5      0.21    -0.04
0       -4      0.21    0.00
-1      -4      0.21    0.00
-2      -4      0.21    -0.04
-4      -4      0.21    -0.06
-5      -3      0.21    -0.04
-6      -3      0.21    -0.06
-7      -3      0.21    -0.06
-7      -1      0.21    -0.02
-8      0       0.21    -0.04
-7      0       0.21    -0.03
-6      0       0.21    -0.02
-5      0       0.21    0.00
-4      0       0.21    0.00
-3      0       0.21    0.00
-1      0       0.21    0.00
0       2       0.21    0.00
2       3       0.21    0.00
4       3       0.21    0.06
7       3       0.21    0.08
9       3       0.21    0.08
12      3       0.21    0.10
14      1       0.21    0.08
15      0       0.21    0.07
16      -2      0.21    0.06
15      -4      0.21    0.02
14      -5      0.21    0.03
12      -5      0.21    0.01
10      -6      0.21    -0.01
8       -6      0.21    -0.01
6       -6      0.21    -0.02
4       -5      0.21    -0.02
2       -5      0.21    -0.04
1       -5      0.21    -0.03
0       -4      0.21    0.00
-2      -4      0.21    -0.05
-3      -4      0.21    -0.05
-4      -3      0.21    -0.04
-5      -3      0.21    -0.05
-6      -2      0.21    -0.04
-7      -2      0.21    -0.06
-7      -1      0.21    -0.03
-7      0       0.21    -0.03
-6      0       0.21    -0.02
-5      0       0.21    0.00
